action_agent_0,action_agent_1,reward_agent_0,reward_agent_1,cum_reward_agent_0,cum_reward_agent_1
0,0,1.6477969791310068,0.26950455690097935,1.6477969791310068,0.26950455690097935
0,1,-2.117895021873997,2.5968012874662345,-2.117895021873997,2.5968012874662345
1,0,2.416956866158619,1.0804223206869148,0.2990618442846218,3.6772236081531493
1,1,0.7523951898261481,1.0757594261221706,1.0514570341107699,4.75298303427532
1,1,0.1993495008893595,-1.6762079449619252,1.2508065350001294,3.0767750893133945
0,0,-0.39040293326721187,1.9750519985776107,0.8604036017329175,5.051827087891005
0,1,0.29783736977432734,2.2602764235763875,1.1582409715072448,7.3121035114673925
1,0,0.5501537201744582,-1.0532901914120765,1.708394691681703,6.2588133200553155
1,1,1.4184888011317178,0.9421628856496751,3.1268834928134206,7.200976205704991
0,0,-0.09811367567671836,0.08549243734543621,3.0287698171367023,7.286468643050426
